method,auc,ci_low,ci_high,recall,precision,pure_fpr,sham_alarm,localization,median_boundary_error
classical_tfidf_binseg_rbf,0.45999999999999996,0.37554513888888885,0.5469444444444445,0.65,0.6290322580645161,0.7666666666666667,0.43333333333333335,0.3717948717948718,46.5
transformer_dictabert_mean_shift,0.7133333333333334,0.638875,0.7884756944444444,0.9,0.6666666666666666,0.9,0.8666666666666667,0.6759259259259259,9.5
llm_perplexity_mgpt_mean_shift,0.2722222222222222,0.20068055555555556,0.3423680555555555,0.6583333333333333,0.5683453237410072,1.0,0.9,0.25316455696202533,84.0
neural_multilingual_minilm_mean_shift,0.7556944444444444,0.6824930555555555,0.8276631944444444,0.4166666666666667,0.9615384615384616,0.03333333333333333,0.4,0.6,13.5
proposed_interpretable_mean_shift,0.5963888888888889,0.5173541666666666,0.6788958333333333,0.2833333333333333,1.0,0.0,0.03333333333333333,0.9117647058823529,6.0
transformer_xlmr_mean_shift,0.6333333333333333,0.5538819444444444,0.7158402777777777,0.8333333333333334,0.6578947368421053,0.8666666666666667,0.8166666666666667,0.67,8.0
